i,gamma0,coact,uniform,gaussian
123,0.000497307,0.000612695,0.000669907,0.000575734
124,0.000485507,0.000594387,0.000650066,0.000575604
125,0.000475368,0.000588179,0.000623818,0.000575276
126,0.000466068,0.000566353,0.000589289,0.000574806
127,0.000440114,0.000558939,0.000571691,0.000574453
128,0.000433053,0.000533594,0.000551709,0.000574274
129,0.000423925,0.000528575,0.000521083,0.000574218
130,0.000411172,0.000506352,0.00051179,0.00057287
131,0.00039612,0.000480817,0.000489393,0.000572537
132,0.000391716,0.000461883,0.000480074,0.000572225
133,0.000382763,0.000455799,0.00046547,0.000571934
134,0.000377804,0.000447303,0.000452516,0.000571881
135,0.000369024,0.000409544,0.000428086,0.00057121
136,0.000361546,0.000403884,0.000421072,0.000570716
137,0.000341483,0.000386765,0.000409283,0.000570251
138,0.000340545,0.000371686,0.000386591,0.000569959
139,0.000332767,0.000365191,0.000379276,0.000569521
140,0.00032631,0.000354388,0.000371216,0.000569176
141,0.000321053,0.000348329,0.000358283,0.000568842
142,0.000312116,0.000343469,0.000346057,0.000568337
143,0.000301343,0.000330677,0.000338656,0.000568099
144,0.000294649,0.000328297,0.000337614,0.000567797
145,0.000290518,0.00030801,0.000306783,0.000567366
146,0.000287322,0.000304891,0.000305619,0.000566793
147,0.000282361,0.000298564,0.000291762,0.000566472
148,0.000266102,0.000285141,0.000285383,0.000566214
149,0.000264415,0.00027616,0.000274855,0.00056593
150,0.000258379,0.000265037,0.000266335,0.000565364
151,0.000254368,0.0002585,0.000259737,0.000565112
152,0.000245332,0.000251987,0.000253648,0.00056493
153,0.000235598,0.000242074,0.000239065,0.000564327
154,0.000234942,0.000234601,0.000236536,0.000564093
155,0.000229412,0.000231621,0.000235074,0.000563696
156,0.000222695,0.00022168,0.000227916,0.00056342
157,0.000219426,0.000214944,0.0002165,0.000562812
158,0.000213947,0.000211649,0.000216323,0.000562387
159,0.000208117,0.000205128,0.000209466,0.000561758
160,0.000206778,0.00019982,0.000208514,0.00056127
161,0.000203799,0.000194482,0.000206071,0.000561133
162,0.000197734,0.000188247,0.000201494,0.000560785
163,0.000196364,0.000185521,0.000197366,0.000560457
164,0.000193292,0.000182976,0.000196402,0.000559951
