== ablate g=0.0 l=0.0 s=2_bf16_group499: train=86400 test=9600
shared directions: 4990 pair means; top-8 var share [0.183, 0.028, 0.022, 0.021, 0.02, 0.019, 0.019, 0.018]
cue means: 1996 cue tokens; rank basis dims 5
 variant    k    acc r1 r2 r3 r4 r5   r5loss  medcos  var%  cos·sh
    base    0 0.9148 0.988 0.950 0.882 0.780 0.671  1.182  -0.249   0.0  nan
  shared    1 0.9152 0.993 0.954 0.879 0.776 0.652  1.251  +nan   9.8  nan
  shared    2 0.9098 0.991 0.953 0.866 0.758 0.640  1.294  +nan  12.6  nan
  shared    4 0.9084 0.993 0.955 0.862 0.747 0.628  1.346  +nan  17.1  nan
  shared    8 0.8951 0.992 0.940 0.844 0.718 0.583  1.439  +nan  25.3  nan
  shared   16 0.8753 0.994 0.931 0.799 0.649 0.527  1.664  -0.250  37.9  nan
  shared   32 0.8256 0.993 0.880 0.713 0.518 0.396  2.155  +nan  56.3  nan
 generic    1 0.9120 0.988 0.950 0.879 0.766 0.658  1.201  +nan   3.0  0.159
 generic    2 0.9098 0.987 0.952 0.872 0.753 0.659  1.215  +nan   5.4  0.071
 generic    4 0.9081 0.988 0.947 0.866 0.753 0.660  1.260  +nan   9.9  0.936
 generic    8 0.8998 0.987 0.940 0.859 0.737 0.616  1.360  +nan  19.2  0.991
 generic   16 0.8846 0.990 0.934 0.826 0.680 0.564  1.487  +nan  32.3  0.992
 generic   32 0.8358 0.987 0.890 0.746 0.539 0.432  1.960  +nan  51.3  0.997
  random    1 0.9148 0.988 0.951 0.882 0.781 0.668  1.183  +nan   0.0  0.022
  random    2 0.9147 0.988 0.951 0.882 0.779 0.669  1.183  +nan   0.1  0.026
  random    4 0.9144 0.988 0.952 0.882 0.776 0.667  1.183  +nan   0.1  0.020
  random    8 0.9146 0.988 0.951 0.884 0.776 0.668  1.185  +nan   0.2  0.028
  random   16 0.9147 0.988 0.951 0.884 0.774 0.671  1.185  +nan   0.4  0.046
  random   32 0.9146 0.988 0.950 0.884 0.777 0.668  1.181  +nan   0.8  0.071
    rank    1 0.9153 0.993 0.954 0.879 0.775 0.652  1.254  +nan   9.8  1.000
    rank    2 0.9151 0.994 0.954 0.879 0.770 0.651  1.248  +nan  11.3  0.404
    rank    4 0.9133 0.993 0.952 0.876 0.767 0.643  1.260  +nan  13.3  0.258
     cue    1 0.9126 0.988 0.949 0.878 0.768 0.665  1.196  +nan   3.0  0.161
     cue    2 0.9093 0.987 0.951 0.875 0.751 0.653  1.231  +nan   5.2  0.032
     cue    4 0.9046 0.986 0.944 0.864 0.748 0.642  1.287  +nan   9.9  0.953
     cue    8 0.8973 0.989 0.939 0.847 0.725 0.615  1.389  +nan  18.3  0.985
     cue   16 0.8739 0.987 0.922 0.810 0.654 0.544  1.590  +nan  31.3  0.992
     cue   32 0.8265 0.983 0.876 0.730 0.538 0.411  2.060  +nan  49.6  0.995
    rare    1 0.9099 0.988 0.949 0.875 0.754 0.660  1.208  +nan   2.9  0.115
    rare    2 0.9080 0.988 0.950 0.873 0.743 0.648  1.242  +nan   5.2  0.084
    rare    4 0.9078 0.987 0.947 0.876 0.748 0.649  1.266  +nan   9.6  0.948
    rare    8 0.8996 0.988 0.939 0.862 0.722 0.623  1.366  +nan  17.7  0.983
    rare   16 0.8803 0.989 0.933 0.822 0.669 0.543  1.564  +nan  30.9  0.990
    rare   32 0.8313 0.985 0.885 0.741 0.529 0.425  2.043  +nan  49.2  0.995
 randvar  394 0.9108 0.987 0.947 0.882 0.765 0.654  1.221  +nan   9.8  0.325
 randvar  504 0.9094 0.988 0.945 0.876 0.762 0.653  1.239  +nan  12.5  0.348
 randvar  690 0.9085 0.986 0.946 0.876 0.758 0.651  1.279  +nan  17.0  0.408
 randvar 1024 0.9060 0.986 0.943 0.868 0.755 0.649  1.365  +nan  25.1  0.501
 randvar 1552 0.8975 0.981 0.939 0.852 0.736 0.635  1.698  +nan  37.8  0.618
 randvar 2303 0.8802 0.970 0.918 0.826 0.716 0.613  2.975  +nan  56.1  0.748
