== ablate g=0.0 l=0.0 s=1_bf16_group499: train=86400 test=9600
shared directions: 4990 pair means; top-8 var share [0.191, 0.026, 0.023, 0.021, 0.02, 0.019, 0.018, 0.017]
cue means: 1996 cue tokens; rank basis dims 5
 variant    k    acc r1 r2 r3 r4 r5   r5loss  medcos  var%  cos·sh
    base    0 0.9147 0.983 0.937 0.879 0.791 0.704  1.037  -0.249   0.0  nan
  shared    1 0.9130 0.989 0.946 0.877 0.758 0.669  1.138  +nan  10.1  nan
  shared    2 0.9090 0.991 0.942 0.867 0.744 0.660  1.173  +nan  12.9  nan
  shared    4 0.9050 0.989 0.937 0.863 0.738 0.649  1.245  +nan  17.5  nan
  shared    8 0.8925 0.988 0.936 0.841 0.690 0.603  1.348  +nan  25.4  nan
  shared   16 0.8733 0.990 0.923 0.803 0.638 0.527  1.623  -0.250  38.2  nan
  shared   32 0.8238 0.990 0.876 0.693 0.529 0.383  2.156  +nan  56.5  nan
 generic    1 0.9115 0.982 0.938 0.869 0.777 0.697  1.071  +nan   3.2  0.188
 generic    2 0.9086 0.982 0.936 0.870 0.766 0.686  1.104  +nan   5.6  0.061
 generic    4 0.9058 0.983 0.932 0.867 0.754 0.677  1.137  +nan  10.3  0.982
 generic    8 0.8999 0.982 0.932 0.865 0.728 0.647  1.219  +nan  18.2  0.977
 generic   16 0.8806 0.983 0.912 0.832 0.684 0.574  1.448  +nan  31.4  0.993
 generic   32 0.8369 0.981 0.873 0.738 0.578 0.457  1.914  +nan  50.9  0.997
  random    1 0.9145 0.983 0.937 0.878 0.789 0.702  1.037  +nan   0.0  0.004
  random    2 0.9144 0.983 0.937 0.880 0.789 0.702  1.037  +nan   0.0  0.003
  random    4 0.9143 0.982 0.937 0.880 0.789 0.701  1.036  +nan   0.1  0.021
  random    8 0.9150 0.983 0.937 0.880 0.790 0.704  1.036  +nan   0.2  0.023
  random   16 0.9143 0.982 0.936 0.879 0.788 0.706  1.035  +nan   0.4  0.039
  random   32 0.9133 0.982 0.935 0.877 0.786 0.704  1.041  +nan   0.8  0.067
    rank    1 0.9125 0.989 0.945 0.879 0.755 0.669  1.140  +nan  10.1  1.000
    rank    2 0.9133 0.989 0.943 0.876 0.764 0.674  1.130  +nan  11.2  0.063
    rank    4 0.9123 0.990 0.942 0.872 0.763 0.668  1.157  +nan  13.2  0.116
     cue    1 0.9111 0.981 0.938 0.867 0.784 0.696  1.076  +nan   2.9  0.139
     cue    2 0.9092 0.982 0.935 0.870 0.768 0.690  1.112  +nan   5.4  0.022
     cue    4 0.9054 0.983 0.932 0.867 0.754 0.672  1.155  +nan   9.9  0.973
     cue    8 0.8977 0.982 0.930 0.859 0.722 0.645  1.232  +nan  17.7  0.970
     cue   16 0.8777 0.981 0.914 0.826 0.668 0.578  1.472  +nan  30.5  0.990
     cue   32 0.8278 0.976 0.865 0.735 0.552 0.434  1.994  +nan  49.5  0.994
    rare    1 0.9107 0.982 0.935 0.867 0.785 0.694  1.069  +nan   2.8  0.067
    rare    2 0.9087 0.982 0.935 0.869 0.768 0.689  1.107  +nan   5.2  0.041
    rare    4 0.9066 0.983 0.938 0.867 0.749 0.677  1.168  +nan   9.7  0.965
    rare    8 0.8998 0.980 0.936 0.863 0.725 0.649  1.255  +nan  17.4  0.984
    rare   16 0.8813 0.983 0.920 0.827 0.677 0.578  1.490  +nan  30.2  0.989
    rare   32 0.8360 0.979 0.884 0.733 0.584 0.430  1.951  +nan  49.0  0.995
 randvar  417 0.9095 0.982 0.932 0.866 0.776 0.700  1.079  +nan  10.2  0.319
 randvar  524 0.9085 0.981 0.931 0.864 0.773 0.705  1.105  +nan  12.9  0.363
 randvar  712 0.9058 0.981 0.928 0.861 0.772 0.684  1.146  +nan  17.4  0.413
 randvar 1036 0.9053 0.978 0.926 0.862 0.775 0.694  1.240  +nan  25.3  0.504
 randvar 1552 0.8951 0.977 0.921 0.847 0.740 0.665  1.642  +nan  38.0  0.619
 randvar 2301 0.8771 0.967 0.906 0.825 0.694 0.634  2.955  +nan  56.4  0.748
