== ablate g=0.0 l=0.0 s=2: train=86400 test=9600
shared directions: 5000 pair means; top-8 var share [0.213, 0.046, 0.026, 0.021, 0.02, 0.019, 0.018, 0.018]
cue means: 2000 cue tokens; rank basis dims 5
 variant    k    acc r1 r2 r3 r4 r5   r5loss  medcos  var%  cos·sh
    base    0 0.9011 0.979 0.950 0.864 0.747 0.625  1.464  -0.250   0.0  nan
  shared    1 0.9069 0.987 0.950 0.876 0.745 0.634  1.424  +nan  10.7  nan
  shared    2 0.8991 0.985 0.959 0.886 0.717 0.545  1.735  +nan  15.3  nan
  shared    4 0.8940 0.986 0.963 0.882 0.696 0.503  1.842  +nan  20.2  nan
  shared    8 0.8809 0.985 0.958 0.850 0.655 0.471  1.964  +nan  28.1  nan
  shared   16 0.8549 0.987 0.946 0.804 0.568 0.373  2.225  -0.247  40.7  nan
  shared   32 0.8028 0.984 0.905 0.686 0.426 0.262  2.645  +nan  58.6  nan
 generic    1 0.8917 0.978 0.962 0.869 0.688 0.549  1.737  +nan   4.4  0.101
 generic    2 0.8890 0.978 0.959 0.869 0.686 0.529  1.843  +nan   7.0  0.035
 generic    4 0.8824 0.978 0.955 0.851 0.681 0.499  1.927  +nan  11.4  0.905
 generic    8 0.8723 0.976 0.951 0.844 0.643 0.463  2.017  +nan  19.5  0.972
 generic   16 0.8524 0.974 0.942 0.795 0.599 0.401  2.165  +nan  33.3  0.986
 generic   32 0.7993 0.968 0.891 0.688 0.458 0.300  2.532  +nan  51.8  0.994
  random    1 0.9013 0.979 0.950 0.864 0.747 0.626  1.464  +nan   0.0  0.004
  random    2 0.9008 0.979 0.949 0.862 0.747 0.625  1.464  +nan   0.0  0.025
  random    4 0.9013 0.979 0.950 0.862 0.748 0.627  1.463  +nan   0.1  0.029
  random    8 0.9011 0.979 0.950 0.862 0.747 0.627  1.463  +nan   0.2  0.030
  random   16 0.9013 0.979 0.950 0.864 0.748 0.625  1.463  +nan   0.4  0.045
  random   32 0.9013 0.979 0.948 0.864 0.751 0.628  1.466  +nan   0.8  0.069
    rank    1 0.9081 0.986 0.950 0.876 0.753 0.643  1.389  +nan  10.8  0.999
    rank    2 0.8964 0.985 0.957 0.884 0.706 0.534  1.776  +nan  15.3  0.990
    rank    4 0.8926 0.984 0.961 0.886 0.701 0.491  1.928  +nan  18.6  0.717
     cue    1 0.8905 0.979 0.959 0.870 0.691 0.537  1.856  +nan   4.4  0.068
     cue    2 0.8879 0.980 0.958 0.871 0.682 0.511  1.914  +nan   7.1  0.070
     cue    4 0.8799 0.979 0.957 0.854 0.666 0.475  2.022  +nan  11.3  0.990
     cue    8 0.8704 0.977 0.952 0.839 0.640 0.443  2.104  +nan  19.2  0.989
     cue   16 0.8407 0.975 0.931 0.783 0.556 0.360  2.333  +nan  32.4  0.994
     cue   32 0.7852 0.966 0.874 0.670 0.425 0.260  2.688  +nan  50.7  0.995
    rare    1 0.8994 0.982 0.947 0.862 0.732 0.617  1.528  +nan   2.5  0.070
    rare    2 0.9008 0.983 0.954 0.858 0.737 0.610  1.536  +nan   4.8  0.057
    rare    4 0.8983 0.982 0.951 0.857 0.735 0.600  1.541  +nan   9.1  0.406
    rare    8 0.8873 0.982 0.950 0.844 0.678 0.564  1.713  +nan  17.1  0.930
    rare   16 0.8605 0.981 0.944 0.816 0.579 0.438  2.030  +nan  30.1  0.973
    rare   32 0.8101 0.978 0.907 0.723 0.430 0.302  2.593  +nan  48.3  0.983
 randvar  433 0.8974 0.978 0.947 0.863 0.738 0.607  1.498  +nan  10.6  0.331
 randvar  629 0.8964 0.977 0.946 0.859 0.735 0.612  1.518  +nan  15.3  0.387
 randvar  826 0.8943 0.978 0.944 0.855 0.724 0.608  1.568  +nan  20.1  0.458
 randvar 1153 0.8916 0.976 0.942 0.849 0.724 0.603  1.717  +nan  28.0  0.522
 randvar 1670 0.8825 0.973 0.931 0.834 0.706 0.589  2.212  +nan  40.7  0.636
 randvar 2390 0.8647 0.958 0.910 0.809 0.694 0.569  3.652  +nan  58.6  0.762
