== ablate g=0.0 l=0.0 s=0: train=86400 test=9600
shared directions: 4999 pair means; top-8 var share [0.2, 0.042, 0.03, 0.023, 0.021, 0.019, 0.018, 0.018]
 variant   k    acc r1 r2 r3 r4 r5   r5loss  medcos
    base   0 0.9003 0.983 0.940 0.859 0.756 0.617  1.524  -0.248
  shared   1 0.8967 0.991 0.945 0.840 0.728 0.586  1.659  +nan
  shared   2 0.8905 0.987 0.961 0.872 0.691 0.483  2.028  +nan
  shared   4 0.8852 0.987 0.958 0.857 0.681 0.466  2.052  +nan
  shared   8 0.8708 0.987 0.954 0.826 0.631 0.423  2.179  +nan
  shared  16 0.8502 0.990 0.939 0.787 0.563 0.353  2.423  -0.253
  shared  32 0.7903 0.985 0.890 0.663 0.404 0.215  2.902  +nan
 generic   1 0.8891 0.982 0.953 0.860 0.706 0.514  1.882  +nan
 generic   2 0.8903 0.984 0.953 0.854 0.707 0.531  1.814  +nan
 generic   4 0.8872 0.980 0.955 0.852 0.701 0.515  1.805  +nan
 generic   8 0.8765 0.983 0.953 0.834 0.658 0.464  2.002  +nan
 generic  16 0.8541 0.981 0.945 0.794 0.596 0.380  2.301  +nan
 generic  32 0.7980 0.968 0.888 0.704 0.451 0.269  2.673  +nan
  random   1 0.9004 0.983 0.940 0.859 0.755 0.618  1.524  +nan
  random   2 0.9002 0.983 0.940 0.858 0.756 0.617  1.524  +nan
  random   4 0.8999 0.984 0.939 0.858 0.754 0.617  1.525  +nan
  random   8 0.9001 0.983 0.939 0.858 0.755 0.618  1.525  +nan
  random  16 0.9004 0.984 0.939 0.857 0.757 0.617  1.525  +nan
  random  32 0.9005 0.984 0.941 0.857 0.757 0.615  1.526  +nan
